CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540666;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540677;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540666;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540671;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540671;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540671;Erreur;323
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540664;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540663;Erreur;10
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540678;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540666;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540663;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540664;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540660;Erreur;10
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540664;Erreur;10
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540526;Erreur;66
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540660;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540670;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540670;Erreur;709
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540657;Erreur;58
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540670;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540667;Erreur;419
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540667;Erreur;66
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540668;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540668;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540657;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540660;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540665;Erreur;803
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540668;Erreur;420
dateMEP;OBL002;;Champ obligatoire manquant;540661;Erreur;
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540659;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540663;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540665;Erreur;66
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540661;Erreur;8
dateMEP;SYN004;Format attendu pour les dates est JJMMAAAA;Date invalide;540661;Erreur;
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540677;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540658;Erreur;701
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540667;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540656;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540658;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540665;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540656;Erreur;330
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540656;Erreur;31
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540655;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540655;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540654;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540654;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540653;Erreur;323
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540653;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540659;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540652;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540652;Erreur;323
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540652;Erreur;ND
dateMEP;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;540661;Erreur;
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540649;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540661;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540651;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540649;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540658;Erreur;66
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540650;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540648;Erreur;28
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540648;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540645;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540650;Erreur;803
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540645;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540648;Erreur;801
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540638;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540651;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540638;Erreur;323
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540638;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540647;Erreur;534
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540646;Erreur;10
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540647;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540647;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540646;Erreur;424
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540653;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540628;Erreur;420
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540621;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540628;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540621;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540646;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540651;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540621;Erreur;420
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540611;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540611;Erreur;420
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540579;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540611;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540604;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540604;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540604;Erreur;420
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540628;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540642;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540579;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540641;Erreur;10
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540642;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540641;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540649;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540634;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540634;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540634;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540579;Erreur;420
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540641;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540619;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540626;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540632;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540626;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540632;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540619;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540644;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540644;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540643;Erreur;201
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540643;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540643;Erreur;57
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540632;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540644;Erreur;801
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540642;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540626;Erreur;323
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540640;Erreur;529
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540639;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540627;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540640;Erreur;3
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540645;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540639;Erreur;8
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540636;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540639;Erreur;713
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540627;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540629;Erreur;604
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540650;Erreur;58
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540630;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540629;Erreur;8
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540616;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540616;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540636;Erreur;58
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540616;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540607;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540607;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540607;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540608;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540608;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540640;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540608;Erreur;323
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540633;Erreur;3
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540600;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540600;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540600;Erreur;323
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540615;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540613;Erreur;8
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540613;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540613;Erreur;558
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540629;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540614;Erreur;10
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540633;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540633;Erreur;529
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540612;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540614;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540610;Erreur;201
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540615;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540612;Erreur;803
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540612;Erreur;66
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540630;Erreur;529
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540630;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540610;Erreur;3
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540605;Erreur;424
dateMEP;OBL002;;Champ obligatoire manquant;540606;Erreur;
dateMEP;SYN003;Ce champ doit etre composé de chiffre sur 8 positions;Syntaxe spécifique non respectée;540606;Erreur;
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540605;Erreur;58
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540609;Erreur;424
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540609;Erreur;10
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540614;Erreur;424
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540606;Erreur;ND
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540605;Erreur;ND
typEng;SYN002;Ce champ peut prendre les valeurs du referentiel type engagements;Donnée inexistante dans le référentiel;540606;Erreur;57
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540610;Erreur;ND
codAgce;SYN002;Ce champ peut prendre les valeurs du referentiel agences;Donnée inexistante dans le référentiel;540606;Erreur;201
periodRemb;SYN002;Ce champ peut prendre les valeurs du referentiel periodicite des engagements;Donnée inexistante dans le référentiel;540602;Erreur;ND
